Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProSecPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmSecPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
17,Brandon Bussi,https://www.nhl.com/player/8483548,0,USA,1998-06-25,209,77,3,False,False,False,False,False,True,True,False,0,2222909,2222909,2222909,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,77,85,81,91,76,75,77,76,75,77,76,67,77,37,40,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
18,Brandon Halverson,https://www.nhl.com/player/8477990,0,USA,1996-03-29,235,77,3,False,False,False,False,False,True,True,False,0,4889378,4889378,4889378,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,76,82,77,96,75,74,76,75,74,76,75,69,83,55,40,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
19,Brett Brochu,https://www.nhl.com/player/8482588,0,CAN,2002-09-09,161,71,3,False,False,False,False,False,True,True,False,0,1832637,1832637,1832637,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,70,72,68,70,69,68,70,69,68,70,69,63,69,45,40,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
20,Cal Petersen,https://www.nhl.com/player/8477361,0,USA,1994-10-19,185,74,3,False,False,False,False,False,True,True,False,0,4607119,4607119,4607119,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,75,83,78,77,74,73,75,74,73,75,74,72,85,52,40,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
21,Calle Clang,https://www.nhl.com/player/8482477,0,SWE,2002-05-20,194,74,2,False,False,False,False,False,True,True,False,0,2273303,2273303,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,73,83,79,79,72,71,73,72,71,73,72,63,69,65,40,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
22,Callum Tung,https://www.nhl.com/player/8485489,0,CAN,2003-11-23,198,75,2,False,False,False,False,False,True,True,False,0,2652230,2652230,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,67,70,66,83,66,65,67,66,65,67,66,62,67,45,40,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
23,Calvin Pickard,https://www.nhl.com/player/8475717,11,CAN,1992-04-15,206,73,4,False,False,False,False,False,True,True,False,0,5261212,5261212,5261212,5261212,0,0,0,0,0,0,,0,100,0,3,0,0,0,0,0,0,0,0,0,88,83,78,79,87,86,88,87,86,88,87,75,87,50,46,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
24,Cam Talbot,https://www.nhl.com/player/8475660,10,CAN,1987-07-05,200,76,1,False,False,False,False,False,True,True,False,0,7679319,0,0,0,0,0,0,0,0,0,,0,97,0,3,0,0,0,0,0,0,0,0,0,93,91,85,86,92,91,93,92,91,93,92,87,92,47,41,88,4,14476,1,2,1,0,14,124,59,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
25,Cameron Whitehead,https://www.nhl.com/player/8483523,0,CAN,2003-06-13,170,75,2,False,False,False,False,False,True,True,False,0,1552898,1552898,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,61,71,67,77,60,59,61,60,59,61,60,62,67,58,40,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
26,Carl Lindbom,https://www.nhl.com/player/8482761,0,SWE,2003-05-20,165,72,3,False,False,False,False,False,True,True,False,0,3348775,3348775,3348775,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,77,78,74,70,76,75,77,76,75,77,76,62,67,49,40,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
27,Carter George,https://www.nhl.com/player/8484857,0,CAN,2006-05-20,196,73,3,False,False,False,False,False,True,True,False,0,3243711,3243711,3243711,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,75,70,67,73,74,73,75,74,73,75,74,60,61,71,40,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
28,Carter Gylander,https://www.nhl.com/player/8481757,0,CAN,2001-06-05,170,76,3,False,False,False,False,False,True,True,False,0,2309087,2309087,2309087,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,68,71,67,80,67,66,68,67,66,68,67,64,71,48,40,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
29,Casey DeSmith,https://www.nhl.com/player/8479193,9,USA,1991-08-13,180,72,2,False,False,False,False,False,True,True,False,0,4082851,4082851,0,0,0,0,0,0,0,0,,0,100,0,3,0,0,0,0,0,0,0,0,0,90,82,76,70,89,88,90,89,88,90,89,76,88,51,47,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
30,Cayden Primeau,https://www.nhl.com/player/8480051,15,USA,1999-08-11,205,75,1,False,False,False,False,False,True,True,False,0,2250166,0,0,0,0,0,0,0,0,0,,0,100,0,3,0,0,0,0,0,0,0,0,0,82,82,78,84,81,79,81,80,79,82,81,66,75,56,38,77,1,956,0,0,0,0,2,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
31,Charlie Lindgren,https://www.nhl.com/player/8479292,31,USA,1993-12-18,190,74,2,False,False,False,False,False,True,True,False,0,4550567,4550567,0,0,0,0,0,0,0,0,,0,100,0,3,0,0,0,0,0,0,0,0,0,93,88,83,78,92,91,93,92,91,93,92,74,86,53,45,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
32,Chris Driedger,https://www.nhl.com/player/8476904,0,CAN,1994-05-18,208,76,4,False,False,False,False,False,True,True,False,0,2942847,2942847,2942847,2942847,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,75,83,78,88,74,73,75,74,73,75,74,71,85,51,40,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
33,Clay Stevenson,https://www.nhl.com/player/8483532,0,CAN,1999-03-03,195,76,3,False,False,False,False,False,True,True,False,0,2680842,2680842,2680842,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,77,84,80,85,76,75,77,76,75,77,76,66,75,55,40,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
34,Collin Delia,https://www.nhl.com/player/8480420,0,USA,1994-06-20,208,74,3,False,False,False,False,False,True,True,False,0,4541317,4541317,4541317,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,72,82,77,82,71,70,72,71,70,72,71,71,85,34,40,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
35,Colten Ellis,https://www.nhl.com/player/8481551,0,CAN,2000-10-05,185,73,5,False,False,False,False,False,True,True,False,0,3542922,3542922,3542922,3542922,3542922,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,77,82,78,74,76,75,77,76,75,77,76,65,73,60,40,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
36,Connor D. Murphy,https://www.nhl.com/player/8484121,0,USA,1998-09-01,201,76,4,False,False,False,False,False,True,True,False,0,2705114,2705114,2705114,2705114,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,67,74,70,87,66,65,67,66,65,67,66,67,77,37,40,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
37,Connor Hellebuyck,https://www.nhl.com/player/8476945,32,USA,1993-05-19,207,76,4,False,False,False,False,False,True,True,False,0,5404080,5404080,5404080,5404080,0,0,0,0,0,0,,0,99,0,3,0,0,0,0,0,0,0,0,0,98,95,90,88,97,96,98,97,96,98,97,85,86,53,41,91,3,10782,1,2,0,0,13,99,48,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
38,Connor Hughes,https://www.nhl.com/player/8484968,0,CHE,1996-09-10,233,76,2,False,False,False,False,False,True,True,False,0,3023368,3023368,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,74,76,71,93,73,72,74,73,72,74,73,69,83,36,40,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
39,Connor Ingram,https://www.nhl.com/player/8478971,28,CAN,1997-03-31,218,73,2,False,False,False,False,False,True,True,False,0,4914508,4914508,0,0,0,0,0,0,0,0,,0,100,0,3,0,0,0,0,0,0,0,0,0,90,85,80,81,89,88,90,89,88,90,89,69,81,53,42,83,1,1649,0,0,0,0,3,17,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
40,Cooper Black,https://www.nhl.com/player/8484900,0,USA,2001-06-14,223,80,3,False,False,False,False,False,True,True,False,0,1744595,1744595,1744595,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,73,74,70,98,72,71,73,72,71,73,72,64,71,43,40,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
41,Damian Clara,https://www.nhl.com/player/8484391,0,ITA,2005-01-13,214,78,4,False,False,False,False,False,True,True,False,0,2639911,2639911,2639911,2639911,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,63,70,67,95,62,61,63,62,61,63,62,60,63,69,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
42,Dan Vladar,https://www.nhl.com/player/8478435,4,CZE,1997-08-20,209,77,5,False,False,False,False,False,True,True,False,0,3789991,3789991,3789991,3789991,3789991,0,0,0,0,0,,0,100,0,3,0,0,0,0,0,0,0,0,0,85,80,75,91,84,83,85,84,83,85,84,69,81,54,43,81,2,3214,0,0,0,0,6,28,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
43,Daniil Tarasov,https://www.nhl.com/player/8480193,8,RUS,1999-03-27,203,77,3,False,False,False,False,False,True,True,False,0,3475978,3475978,3475978,0,0,0,0,0,0,0,,0,100,0,3,0,0,0,0,0,0,0,0,0,84,80,76,92,83,82,84,83,82,84,83,66,75,60,43,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44,Darcy Kuemper,https://www.nhl.com/player/8475311,13,CAN,1990-05-05,215,77,4,False,False,False,False,False,True,True,False,0,6692629,6692629,6692629,6692629,0,0,0,0,0,0,,0,100,0,3,0,0,0,0,0,0,0,0,0,93,87,81,93,92,91,93,92,91,93,92,83,89,50,43,88,4,11816,1,2,1,0,14,115,59,0,0,4,1,4,0,0,1,0,0,0,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45,David Rittich,https://www.nhl.com/player/8479496,13,CZE,1992-08-19,205,76,1,False,False,False,False,False,True,True,False,0,4719736,0,0,0,0,0,0,0,0,0,,0,100,0,3,0,0,0,0,0,0,0,0,0,86,85,80,87,85,84,86,85,84,86,85,76,87,46,45,82,2,2884,0,0,0,0,4,27,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46,Dennis Hildeby,https://www.nhl.com/player/8483710,27,SWE,2001-08-19,224,79,1,False,False,False,False,False,True,True,False,0,1989423,0,0,0,0,0,0,0,0,0,,0,100,0,1,0,0,0,0,0,0,0,0,0,77,86,82,98,76,75,77,76,75,77,76,64,71,57,40,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10800,2,1,0,0,11,79,43,0,0,0,0,3,0,0,0,0,0,100,120,120,False
47,Devin Cooley,https://www.nhl.com/player/8482445,0,USA,1997-05-25,192,77,3,False,False,False,False,False,True,True,False,0,3169168,3169168,3169168,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,75,84,79,88,74,73,75,74,73,75,74,68,81,52,40,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48,Devon Levi,https://www.nhl.com/player/8482221,3,CAN,2001-12-27,192,72,4,False,False,False,False,False,True,True,False,0,3771289,3771289,3771289,3771289,0,0,0,0,0,0,,0,99,0,1,0,0,0,0,0,0,0,0,0,81,90,86,73,80,79,82,80,79,81,80,64,71,58,42,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14345,1,3,0,0,12,101,52,2,0,0,0,4,0,0,0,1,0,120,360,360,False
49,Domenic DiVincentiis,https://www.nhl.com/player/8483711,0,CAN,2004-03-04,191,74,2,False,False,False,False,False,True,True,False,0,3129583,3129583,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,74,76,73,79,73,72,74,73,72,74,73,61,65,49,40,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50,Drew Commesso,https://www.nhl.com/player/8482123,0,USA,2002-07-19,180,74,2,False,False,False,False,False,True,True,False,0,3154799,3154799,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,77,86,82,77,76,75,77,76,75,77,76,63,69,73,40,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51,Dustin Tokarski,https://www.nhl.com/player/8474682,5,CAN,1989-09-16,198,72,4,False,False,False,False,False,True,True,False,0,4048450,4048450,4048450,4048450,0,0,0,0,0,0,,0,100,0,1,0,0,0,0,0,0,0,0,0,74,81,75,74,73,72,74,73,72,74,73,76,90,42,45,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,False
52,Dustin Wolf,https://www.nhl.com/player/8481692,4,USA,2001-04-16,166,72,2,False,False,False,False,False,True,True,False,0,2457270,2457270,0,0,0,0,0,0,0,0,,0,99,0,3,0,0,0,0,0,0,0,0,0,89,92,88,70,88,87,90,88,87,89,88,64,71,58,48,82,5,14786,3,2,0,1,14,125,56,0,0,0,0,5,0,0,1,0,0,975,1015,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
